NW_res,id,Latitude,Longitude
Boulder Reservoir,BR,40.078854,-105.221485
Carter Lake,CL,40.343582,-105.216894
Flatiron Reservoir,FR,40.371497,-105.230352
Grand Lake,GL,40.244433,-105.816633
Green Mountain Reservoir,GMT,39.880015,-106.300140
Horsetooth Reservoir,HR,40.581235,-105.164726
Lake Estes,LE,40.375575,-105.494355
Lake Granby,LG,40.165880,-105.870068
Mary's Lake,ML,40.344553,-105.532324
Pinewood Reservoir,PR,40.362549,-105.284468
Shadow Mountain Reservoir,SMR,40.223614,-105.845272
Willow Creek Reservoir,WCR,40.146986,-105.951047